user_id,X_train_rows,X_test_rows,train_accuracy,test_accuracy
nGvolzdWXhC-U8U0ZLydWQ,87,22,0.632183908046,0.454545454545
S99eN-d-s6gKZoKTw6GzRg,100,25,0.65,0.28
_7el1cOgnfkNfmZKi277bQ,83,21,0.614457831325,0.285714285714
3utmyE9HW49ttk9jJg1l3g,132,33,0.659090909091,0.545454545455
q9XgOylNsSbqZqF_SO3-OQ,283,71,0.52296819788,0.394366197183
lPaYMDmJbAnv_3pmZH_inw,325,82,0.535384615385,0.475609756098
JffajLV-Dnn-eGYgdXDxFg,294,74,0.585034013605,0.405405405405
dsJCEbkYT0EvqOYDbHIxxw,159,40,0.685534591195,0.6
chI2p-ROg2tXI2-tT2_G2A,83,21,0.674698795181,0.857142857143
SRMKX0-l_3ufBg1cA76E2Q,109,28,0.587155963303,0.392857142857
QhVMRycaxLqK7KL81dxFJQ,161,41,0.60248447205,0.341463414634
sMBdzt8FE_oaqIzYRAwWZw,121,31,0.603305785124,0.354838709677
zz4iaqRAIT-wju1J8wicgA,96,24,0.635416666667,0.625
JG5PCcUmJP46MS70H7HdcQ,84,22,0.607142857143,0.272727272727
QYS29txRosYV2mGu68Cnhg,140,36,0.621428571429,0.333333333333
tHz9cWxwSfcP4qRaPIHvww,180,45,0.638888888889,0.466666666667
nbofxFWHORebBHh10OgYLA,105,27,0.647619047619,0.222222222222
Vi77s0AS-cIzPoBq5AbEaQ,191,48,0.602094240838,0.291666666667
k6cUu7sSqZzG6jXPXD4Kjw,99,25,0.555555555556,0.36
psf7Etrt3azIdhMhoPKmpA,108,27,0.638888888889,0.518518518519
NqoaK7KuK20O8t5nLLgPLg,94,24,0.68085106383,0.541666666667
cRyNICH0mhjxagvSyVr60Q,98,25,0.602040816327,0.36
fwsJGulnozT2U6FefsLiFw,86,22,0.662790697674,0.727272727273
sDyaN_3DEZyhnJPUFIwoEg,111,28,0.684684684685,0.785714285714
SFpGhgL85C9Hs54FuXFaoQ,93,24,0.688172043011,0.416666666667
q3Fa0PhTGzRl-05fXHIi4g,90,23,0.5,0.434782608696
gBoMkFuGtVBUpJqtRL3qAw,176,45,0.613636363636,0.355555555556
6OWHDbEq23f24Vki_veHBA,210,53,0.666666666667,0.547169811321
JDVHUs3UBWcZiMPLBTzc3A,92,23,0.576086956522,0.434782608696
V0y4fqp-4pSRfsz0FmsjPA,97,25,0.546391752577,0.36
_4lqpCYCqOQzbB6xQGGhrQ,166,42,0.560240963855,0.285714285714
FjDJcEFfPa9eHxmU32vcLw,116,30,0.681034482759,0.4
_vS9qNQvx8wVUOIkj4qfAg,210,53,0.609523809524,0.377358490566
OaFcpi3W4AwxrD8W2pgC_A,407,102,0.584766584767,0.549019607843
bAgO9_hnkDjlFAkUhCSwMQ,395,99,0.612658227848,0.575757575758
7knTjXA1lNJw7AMIIJi4YQ,87,22,0.609195402299,0.454545454545
jRtdO03kWbReasB_vBlTsQ,97,25,0.701030927835,0.72
Q3fFv_ft17OyV-NRF1iQxw,120,30,0.625,0.633333333333
Uchznb_3tmqIpJTh16iRPg,118,30,0.728813559322,0.5
HGWIasjq8h6GGNPRXhn3cw,91,23,0.582417582418,0.391304347826
26wW6FNWdmC23Vz-sjy9Dw,108,27,0.666666666667,0.407407407407
AkJFqLqHHAKY3H5R8p7cPQ,140,35,0.585714285714,0.4
0mWN-SJLbDE2LN-3QzOpeg,108,28,0.574074074074,0.357142857143
kGgAARL2UmvCcTRfiscjug,595,149,0.606722689076,0.590604026846
pw-k3TMjt1ZNB2-iRVTDlQ,112,28,0.669642857143,0.357142857143
OJsmh1DbXlvXOBEbCzXdIw,116,30,0.706896551724,0.466666666667
KMXTYbd0U031Xs6ygBtWNw,135,34,0.703703703704,0.352941176471
_X0Xt2z5Q7GESxxRzvy4_g,115,29,0.730434782609,0.586206896552
AYGHNy8gPxl2Q-etTT3hZw,100,25,0.63,0.44
y3FTaotN0O-V41cBiZXnFA,157,40,0.605095541401,0.525
o2CGc1kQHEFkYOECM3NFdg,125,32,0.56,0.25
Mb0psF4WQF7gZSuZafVr-g,215,54,0.558139534884,0.592592592593
eL-pnXODdyMwABMmLOrwKA,91,23,0.714285714286,0.565217391304
50ofEHGBhs1HGQYvCRnFOQ,82,21,0.634146341463,0.52380952381
RaUsdg356ynr4QLhoFckCA,102,26,0.705882352941,0.307692307692
vBvTK-Fqfhl_DACCNaNOWA,84,22,0.535714285714,0.363636363636
7brf9WC0Gr_7bUBXEHs9FA,94,24,0.659574468085,0.416666666667
17LPTsu4RgqTZ3SxsGzzxw,303,76,0.554455445545,0.407894736842
seZUmOBVw9swD9RdBbsFUA,96,24,0.635416666667,0.5
O0vvS6arf6WlUfTOoczcEA,170,43,0.535294117647,0.395348837209
qeljTFFJaZE-HJ6RKx0iFg,136,34,0.625,0.411764705882
h4tfHGODErFCFrg6KEZ3xw,87,22,0.735632183908,0.454545454545
F6QsMoJdvtohlbnST-fDyQ,123,31,0.634146341463,0.483870967742
l9GGMi-zf2ZTbHbW8wrkTw,250,63,0.6,0.349206349206
l9Zawl4rFmHk4cyXhVfW9w,92,24,0.608695652174,0.291666666667
PTY5DM38QqeqbKSyfb9lww,86,22,0.767441860465,0.363636363636
NzWLMPvbEval0OVg_YDn4g,248,63,0.552419354839,0.428571428571
I3QDSkHyHUd3wlmRUb0eyg,226,57,0.592920353982,0.333333333333
hl9fXDbO_F4vwuwLn6j01A,105,27,0.647619047619,0.666666666667
XeoAojoz5johV2MQ5ngNig,100,26,0.64,0.576923076923
BiZvuNKi0bs_YwttHhhq4w,104,26,0.596153846154,0.615384615385
8F6QN9ip-KimAWaAnzLNoA,105,27,0.67619047619,0.592592592593
GLJazgesK2b_mRYQaEc8rA,86,22,0.662790697674,0.5
FHDI8M5sm6lrZXNUBZAOfA,80,21,0.6125,0.333333333333
f4CExFYr3GTMSBD4BccDQw,81,21,0.58024691358,0.380952380952
J0h_oB2VEhMTlcqKmspjWQ,95,24,0.694736842105,0.416666666667
QMTQNQmp4hQ2o6hkRX_Uxg,139,35,0.517985611511,0.485714285714
C3gwYFhIqhdubl9OZVjBew,92,24,0.608695652174,0.541666666667
cs37Ohgq7_g3grJNEEUi2Q,100,25,0.71,0.44
C3j3opcesIOdPoy7qzGgVQ,85,22,0.564705882353,0.409090909091
aIAjAU-6NH583EkQ6E9KRw,114,29,0.622807017544,0.620689655172
yEQ96ibrgRxUaJP_wv5cbw,85,22,0.705882352941,0.545454545455
IO3AsR6cdMto7VCwfPzf2w,111,28,0.603603603604,0.535714285714
kZ11FAE4NGbddxOOPeRL5g,152,38,0.625,0.421052631579
Bc-lEKlxF_n11XWQV53oCg,94,24,0.63829787234,0.541666666667
WxeD74JGiwjljzHndYSvmw,127,32,0.622047244094,0.625
9LwyHtKt5iRqlcFH-897aQ,131,33,0.549618320611,0.363636363636
_7Lg8iTWpFc0O7PEA8FmbQ,125,32,0.592,0.53125
c5baNLWzuQG1rm1wigyFuQ,109,28,0.614678899083,0.107142857143
5pn0Rb0RSvt7IkPLWsGeZg,131,33,0.610687022901,0.545454545455
vuUddBhwlrVijAAFvK5UTg,91,23,0.714285714286,0.434782608696
mD1uXKXoCgxfpf9wz_1utA,136,34,0.566176470588,0.235294117647
KkEFlQAmrKf6BtPVi6EU7g,256,65,0.5546875,0.584615384615
GrSixRnGIxNUJ1Cn5DNX9A,315,79,0.695238095238,0.594936708861
ohRev2g3tvXpV3gBnhC-og,101,26,0.564356435644,0.5
RdMfsYb8dTZQYoxU-3OIFg,162,41,0.759259259259,0.536585365854
KucBnMrhalzxnD9AWrxwYQ,109,28,0.467889908257,0.285714285714
